name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Hà Nội,2024-05-01,28,24,26,31.5,24,27.1,22.8,83,6.5,100,62.5,rain,0,0,36.7,18.4,41.9,1004.9,90.1,9.5,57.4,4.9,2,10,2024-05-01T05:26:06,2024-05-01T18:21:36,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hà Nội,2024-05-02,26.2,22,24.1,26.2,22,24.1,22.5,91.2,32.82,100,8.33,rain,0,0,24.5,16.6,61.7,1008.1,88.8,8.4,34.3,3,1,10,2024-05-02T05:25:29,2024-05-02T18:21:59,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hà Nội,2024-05-03,27.7,23,25.1,30.9,23,25.6,23.6,91.7,34.457,100,12.5,rain,0,0,39.6,22.3,103,1007.8,93.4,7.9,91.8,8,6,60,2024-05-03T05:24:53,2024-05-03T18:22:23,0.83,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hà Nội,2024-05-04,33,25,28.2,42.1,25,32.1,25.1,84.2,0.2,100,8.33,rain,0,0,29.5,22.3,117.8,1004.6,72.1,8.8,307.8,26.5,10,100,2024-05-04T05:24:18,2024-05-04T18:22:46,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hà Nội,2024-05-05,28.7,24,26.5,31.4,24,27.8,22.2,77.5,2.6,100,37.5,rain,0,0,25.6,16.6,53.5,1008.3,84.5,9.9,54.8,4.9,3,10,2024-05-05T05:23:43,2024-05-05T18:23:10,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hà Nội,2024-05-06,28.8,24.2,26,32.2,24.2,26.9,23.5,86.6,2.241,100,4.17,rain,0,0,24.5,16.6,52.8,1011,79.3,9.3,108.9,9.4,5,30,2024-05-06T05:23:10,2024-05-06T18:23:35,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hà Nội,2024-05-07,30.4,25,27.3,36.7,25,30.3,24.6,85.9,4.88,100,4.17,rain,0,0,25.9,13,71.2,1012.7,80.9,9.1,253.5,21.9,9,30,2024-05-07T05:22:38,2024-05-07T18:23:59,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hà Nội,2024-05-08,30,26,27.2,37.4,26,30.4,25.4,89.8,5.216,100,4.17,rain,0,0,32,14.8,99.1,1011.7,80.8,7.7,262.8,22.7,9,30,2024-05-08T05:22:06,2024-05-08T18:24:23,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hà Nội,2024-05-09,31,23,26.1,37.7,23,27.6,23.7,87.1,2.993,100,8.33,rain,0,0,28.8,20.5,74.5,1012.7,88.6,9.5,254.8,22.1,9,30,2024-05-09T05:21:36,2024-05-09T18:24:48,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hà Nội,2024-05-10,31.7,24,27.8,39.1,24,31.2,24.5,82.9,0.17,100,8.33,rain,0,0,36.7,24.1,121,1011.5,66.2,9,241.6,21,8,30,2024-05-10T05:21:06,2024-05-10T18:25:13,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hà Nội,2024-05-11,33,26,29.1,42.1,26,34.7,25.6,82.3,0.6,100,8.33,rain,0,0,36.4,20.5,144.1,1010.7,56.4,9.3,215.3,18.5,7,60,2024-05-11T05:20:38,2024-05-11T18:25:38,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hà Nội,2024-05-12,34,24.6,28.5,43.5,24.6,33.1,25.5,84.8,17.168,100,4.17,rain,0,0,28.8,24.1,103.8,1010.3,70,8.6,228.8,19.8,7,60,2024-05-12T05:20:10,2024-05-12T18:26:03,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hà Nội,2024-05-13,30.1,23,26.7,33.9,23,28.5,22.9,80.9,142.584,100,16.67,rain,0,0,28.8,16.6,326.4,1012,56.5,9.5,274.3,23.7,10,10,2024-05-13T05:19:44,2024-05-13T18:26:28,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hà Nội,2024-05-14,32,24,28,37.8,24,31,23.8,78.7,0.9,100,29.17,rain,0,0,31.7,22.3,123.1,1011.1,42.6,9.8,242.3,21,9,30,2024-05-14T05:19:18,2024-05-14T18:26:54,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hà Nội,2024-05-15,31,24,27.4,39,24,30.5,25,87.7,11.2,100,54.17,rain,0,0,30.6,22.3,85.2,1012.3,72,7.5,220.7,19.1,8,30,2024-05-15T05:18:54,2024-05-15T18:27:19,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,VVNB
Hà Nội,2024-05-16,29.6,23.4,26,31.9,23.4,26.6,21.8,78.4,2.2,100,29.17,rain,0,0,22.3,11.2,44.9,1013.1,82.7,19.1,156.7,13.7,8,10,2024-05-16T05:18:31,2024-05-16T18:27:45,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VVNB,remote"
